datetime,open,high,low,close,volume
2021-03-14 18:01:00,3937.5,3941.25,3936.0,3939.0067,827
2021-03-14 18:02:00,3939.0067,3942.75,3938.75,3941.7691,668
2021-03-14 18:03:00,3941.7691,3942.5,3941.25,3941.97,185
2021-03-14 18:04:00,3941.97,3942.5,3941.5,3942.2653,204
2021-03-14 18:05:00,3942.2653,3942.2653,3941.75,3942.0404,99
2021-03-14 18:06:00,3942.0404,3942.25,3940.0,3940.2386,270
2021-03-14 18:07:00,3940.2386,3940.5,3939.75,3940.268,137
2021-03-14 18:08:00,3940.268,3940.268,3939.5,3939.5394,210
2021-03-14 18:09:00,3939.5394,3939.5394,3938.25,3938.704,261
2021-03-14 18:10:00,3938.704,3940.0,3938.4533,3938.4533,357
2021-03-14 18:11:00,3938.4533,3938.75,3936.5,3936.7512,438
2021-03-14 18:12:00,3936.7512,3937.0,3934.25,3935.4779,635
2021-03-14 18:13:00,3935.4779,3935.75,3934.75,3935.4622,277
2021-03-14 18:14:00,3935.4622,3936.75,3935.0,3936.5452,263
2021-03-14 18:15:00,3936.5452,3937.25,3936.5,3936.722,226
2021-03-14 18:16:00,3936.722,3937.5,3936.25,3937.214,190
2021-03-14 18:17:00,3937.214,3937.5,3936.7276,3936.7276,213
2021-03-14 18:18:00,3936.7276,3936.75,3934.75,3934.9972,425
2021-03-14 18:19:00,3934.9972,3935.75,3934.75,3935.5327,105
2021-03-14 18:20:00,3935.5327,3935.5327,3935.0,3935.2053,63
2021-03-14 18:21:00,3935.2053,3935.75,3934.5,3934.5104,177
2021-03-14 18:22:00,3934.5104,3936.0,3934.5104,3935.7279,177
2021-03-14 18:23:00,3935.7279,3936.25,3934.75,3934.761,216
2021-03-14 18:24:00,3934.761,3935.25,3934.75,3934.9557,121
2021-03-14 18:25:00,3934.9557,3935.75,3934.75,3934.7585,198
2021-03-14 18:26:00,3934.7585,3936.0,3934.5,3935.4853,140
2021-03-14 18:27:00,3935.4853,3936.0,3935.25,3935.7856,57
2021-03-14 18:28:00,3935.7856,3936.5283,3935.75,3936.5283,49
2021-03-14 18:29:00,3936.5283,3936.5283,3936.25,3936.5222,30
2021-03-14 18:30:00,3936.5222,3936.5222,3935.75,3936.0222,94
2021-03-14 18:31:00,3936.0222,3936.75,3936.0,3936.4699,104
2021-03-14 18:32:00,3936.4699,3936.5,3935.0,3935.033,81
2021-03-14 18:33:00,3935.033,3935.25,3932.5,3932.7577,472
2021-03-14 18:34:00,3932.7577,3933.0,3931.75,3932.2486,291
2021-03-14 18:35:00,3932.2486,3933.25,3932.2486,3933.2378,119
2021-03-14 18:36:00,3933.2378,3933.5,3933.2378,3933.4645,61
2021-03-14 18:37:00,3933.4645,3934.0205,3933.4645,3934.0205,44
2021-03-14 18:38:00,3934.0205,3934.5,3934.0205,3934.4534,38
2021-03-14 18:39:00,3934.4534,3934.5,3934.2137,3934.2137,38
2021-03-14 18:40:00,3934.2137,3935.2507,3934.0,3935.2507,128
2021-03-14 18:41:00,3935.2507,3935.2507,3933.75,3933.7796,95
2021-03-14 18:42:00,3933.7796,3934.5,3933.5,3934.4697,90
2021-03-14 18:43:00,3934.4697,3934.5,3934.0,3934.2355,142
2021-03-14 18:44:00,3934.2355,3934.5,3934.0,3934.4581,32
2021-03-14 18:45:00,3934.4581,3935.25,3934.4581,3934.709,34
2021-03-14 18:46:00,3934.709,3935.25,3934.709,3935.0252,65
2021-03-14 18:47:00,3935.0252,3935.25,3934.7317,3934.7317,40
2021-03-14 18:48:00,3934.7317,3934.7317,3934.25,3934.4581,47
2021-03-14 18:49:00,3934.4581,3935.0,3934.25,3934.7445,80
2021-03-14 18:50:00,3934.7445,3935.0,3934.5,3934.5489,39
2021-03-14 18:51:00,3934.5489,3934.5489,3934.0,3934.0362,59
2021-03-14 18:52:00,3934.0362,3934.25,3934.0,3934.2185,34
2021-03-14 18:53:00,3934.2185,3934.75,3934.0,3934.0473,80
2021-03-14 18:54:00,3934.0473,3934.2991,3933.75,3934.2991,56
2021-03-14 18:55:00,3934.2991,3934.2991,3933.25,3934.2501,174
2021-03-14 18:56:00,3934.2501,3934.2501,3934.0,3934.2051,60
2021-03-14 18:57:00,3934.2051,3935.0,3934.0,3934.7498,131
2021-03-14 18:58:00,3934.7498,3936.5,3934.5,3936.4613,215
2021-03-14 18:59:00,3936.4613,3937.2627,3936.4613,3937.2627,186
2021-03-14 19:00:00,3937.2627,3937.5,3936.5,3936.738,95
2021-03-14 19:01:00,3936.738,3938.0,3936.5,3937.7712,238
2021-03-14 19:02:00,3937.7712,3938.033,3937.5,3938.033,169
2021-03-14 19:03:00,3938.033,3938.519,3938.0,3938.519,119
2021-03-14 19:04:00,3938.519,3939.5,3938.0,3939.2295,446
2021-03-14 19:05:00,3939.2295,3939.25,3938.25,3938.9938,181
2021-03-14 19:06:00,3938.9938,3939.75,3937.75,3939.2897,407
