,datetime,open,high,low,close,volume
0,2021-06-13 18:01:00,13991.0,14004.75,13990.0,14002.9545,395
1,2021-06-13 18:02:00,14002.9545,14012.25,14002.75,14008.5297,305
2,2021-06-13 18:03:00,14008.5297,14011.75,14007.2208,14007.2208,120
3,2021-06-13 18:04:00,14007.2208,14009.25,14005.0,14009.2329,81
4,2021-06-13 18:05:00,14009.2329,14009.2329,14007.0,14007.9775,41
5,2021-06-13 18:06:00,14007.9775,14010.5,14006.5,14007.9718,89
6,2021-06-13 18:07:00,14007.9718,14009.25,14007.5,14008.5251,37
7,2021-06-13 18:08:00,14008.5251,14008.5251,14007.962,14007.962,5
8,2021-06-13 18:09:00,14007.962,14008.75,14006.5,14006.7977,35
9,2021-06-13 18:10:00,14006.7977,14007.25,14005.75,14006.9849,37
10,2021-06-13 18:11:00,14006.9849,14007.25,14006.5,14006.7371,30
11,2021-06-13 18:12:00,14006.7371,14007.75,14005.5,14005.9522,43
12,2021-06-13 18:13:00,14005.9522,14006.5,14005.5,14006.238,22
13,2021-06-13 18:14:00,14006.238,14007.5,14005.5,14006.993,26
14,2021-06-13 18:15:00,14006.993,14008.75,14006.993,14008.2808,26
15,2021-06-13 18:16:00,14008.2808,14012.25,14007.75,14011.956,75
16,2021-06-13 18:17:00,14011.956,14015.25,14011.956,14013.2002,101
17,2021-06-13 18:18:00,14013.2002,14013.75,14011.25,14012.2436,109
18,2021-06-13 18:19:00,14012.2436,14012.2436,14008.5,14009.9615,90
19,2021-06-13 18:20:00,14009.9615,14011.5,14009.9615,14010.5391,27
20,2021-06-13 18:21:00,14010.5391,14011.25,14010.5391,14010.7658,12
21,2021-06-13 18:22:00,14010.7658,14010.7658,14010.0,14010.5094,20
22,2021-06-13 18:23:00,14010.5094,14010.5094,14009.75,14009.7947,6
23,2021-06-13 18:24:00,14009.7947,14013.0,14009.5,14012.9808,19
24,2021-06-13 18:25:00,14012.9808,14012.9808,14011.0,14011.4754,27
25,2021-06-13 18:26:00,14011.4754,14011.4754,14010.2473,14010.2473,8
26,2021-06-13 18:27:00,14010.2473,14010.7966,14010.0,14010.7966,8
27,2021-06-13 18:28:00,14010.7966,14011.0295,14010.7966,14011.0295,3
28,2021-06-13 18:29:00,14011.0295,14012.0,14011.0295,14011.27,11
29,2021-06-13 18:30:00,14011.27,14011.27,14009.7367,14009.7367,10
30,2021-06-13 18:31:00,14009.7367,14011.5,14009.7367,14011.02,26
31,2021-06-13 18:32:00,14011.02,14012.0,14010.75,14011.5439,20
32,2021-06-13 18:33:00,14011.5439,14011.75,14011.5439,14011.7331,5
33,2021-06-13 18:34:00,14011.7331,14011.75,14011.0,14011.5164,9
34,2021-06-13 18:35:00,14011.5164,14011.5164,14009.5,14009.5493,18
35,2021-06-13 18:36:00,14009.5493,14010.0,14009.25,14009.9668,16
36,2021-06-13 18:37:00,14009.9668,14010.537,14009.75,14010.537,18
37,2021-06-13 18:38:00,14010.537,14010.75,14009.9836,14009.9836,10
38,2021-06-13 18:39:00,14009.9836,14010.25,14009.75,14009.969,8
39,2021-06-13 18:40:00,14009.969,14009.969,14009.25,14009.2738,5
40,2021-06-13 18:41:00,14009.2738,14010.0332,14009.2738,14010.0332,18
41,2021-06-13 18:42:00,14010.0332,14010.5439,14009.5,14010.5439,22
42,2021-06-13 18:43:00,14010.5439,14011.25,14010.5,14011.2276,10
43,2021-06-13 18:44:00,14011.2276,14012.0,14010.75,14011.5395,18
44,2021-06-13 18:45:00,14011.5395,14011.5395,14011.2462,14011.2462,2
45,2021-06-13 18:46:00,14011.2462,14011.25,14011.0,14011.0382,14
46,2021-06-13 18:47:00,14011.0382,14011.5325,14010.5,14011.5325,15
47,2021-06-13 18:48:00,14011.5325,14012.5,14011.0,14011.9781,23
48,2021-06-13 18:49:00,14011.9781,14012.0,14011.5,14011.7713,19
49,2021-06-13 18:50:00,14011.7713,14011.7713,14011.5,14011.7578,3
50,2021-06-13 18:51:00,14011.7578,14011.7578,14011.2418,14011.2418,5
51,2021-06-13 18:52:00,14011.2418,14011.2844,14011.0,14011.2844,5
52,2021-06-13 18:53:00,14011.2844,14011.2844,14009.5,14009.9662,37
53,2021-06-13 18:54:00,14009.9662,14010.263,14009.5,14010.263,8
54,2021-06-13 18:55:00,14010.263,14011.25,14009.75,14010.5109,35
55,2021-06-13 18:56:00,14010.5109,14010.5109,14010.0,14010.0171,10
56,2021-06-13 18:57:00,14010.0171,14010.0171,14009.25,14009.5184,16
57,2021-06-13 18:58:00,14009.5184,14010.25,14009.5,14010.2495,7
58,2021-06-13 18:59:00,14010.2495,14011.0415,14010.2495,14011.0415,5
59,2021-06-13 19:00:00,14011.0415,14011.0415,14010.0,14010.2424,11
60,2021-06-13 19:01:00,14010.2424,14011.75,14009.75,14009.7809,46
61,2021-06-13 19:02:00,14009.7809,14010.0,14009.5,14009.9867,11
62,2021-06-13 19:03:00,14009.9867,14010.0,14009.75,14009.9505,5
